CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F4_3,,,,,
If,S10_CSJ,ok,no,,,
Label,no,,,,,
Speaker,철수,,,,,
Char,Chulsu,,,,,
Shake,,,,,,
Sfx,Dog2,,,,,
Text,왈! 왈왈왈!,,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,으... 으악! 진정하세요!,,,,,
Speaker,,,,,,
Text,강아지는 경계하며 짖고 있다.,,,,,
Text,아무래도 옆에 있는 영혼이 혼자 남는 게 걱정되는 것 같다.,,,,,
End,,,,,,
Label,ok,,,,,
Speaker,철수,,,,,
Char,Chulsu,,,,,
Sfx,Dog,,,,,
Text,멍!,,,,,
Speaker,,,,,,
Text,"강아지는 아이가 떠나자, 만족한 듯 짖으며 따라온다.",,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,휴우...,,,,,
Clear,S08_KCS,,,,,
