CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F4_R3,,,,,
Speaker,,,,,,
Text,"영혼은 상황을 전해듣자, 곰곰히 생각하더니 말한다.",,,,,
Speaker,미연,,,,,
Char,Miyeon,,,,,
Text,"제 아이...와 같이 가고 싶은데, 혹시 찾아주실 수 있으실까요?",,,,,
Text,"분명 마지막 순간까지 같이 있었는데... 죽은 후 깨어나보니, 사라져 있었어요.",,,,,
If,S10_CSJ,ok,no,,,
Label,no,,,,,
Speaker,,,,,,
Text,이 사람이 말하는 <color=#26EEFF>'아이'</color>를 먼저 데려와야할 것 같다.,,,,,
End,,,,,,
Label,ok,,,,,
Speaker,세진,,,,,
Char,Sejin,,,,,
Text,......,,,,,
Speaker,,,,,,
Text,아이는 머뭇거리며 방 안으로 들어왔다.,,,,,
Speaker,미연,,,,,
Char,Miyeon,,,,,
Text,세진아!,,,,,
Text,미안해... 아줌마가 구해주지 못해서.,,,,,
Speaker,세진,,,,,
Char,Sejin,,,,,
Text,아니에요... 저 구하려고 방에 들어오셨었잖아요.,,,,,
Text,너무 죄송해서 숨어 있었어요...,,,,,
Speaker,미연,,,,,
Char,Miyeon,,,,,
Text,"괜찮아, 괜찮아. 이젠 같이 가자.",,,,,
Speaker,세진,,,,,
Char,Sejin,,,,,
Text,"네, 아줌... 엄마.",,,,,
Speaker,저승사자,,,,,
Char,Saja_Sad,,,,,
Text,......,,,,,
Sfx,Complete,,,,,
Text,"두 영혼의 한이 풀려, 같이 따라오게 되었다.",,,,,
Clear,S09_IMY,,,,,
