CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F1_C,,,,,
Bgm,Saja,,,,,
Speaker,사자,,,,,
Text,"으으, 할 일이 늘어났군.",,,,,
Choice,어떤 일이요?,question,어리버리한 저승사자까지 보살피는 일?,haha,,
Label,haha,,,,,
Text,"무, 뭐, 뭣, 나한테 하는 소리냐?",,,,,
Text,나... 나는 어리버리하지 않거든!,,,,,
Text,"으, 어쨌거나... 네가 해야할 일을 정리해서 알려주마.",,,,,
Label,question,,,,,
Text,"먼저, 현장을 조사해서 <color=#26EEFF>영혼의 이름</color>을 추리한다.",,,,,
Text,"다음으로, <color=#26EEFF>영파 탐지기</color>에는 그 층에 있는 <color=#26EEFF>한</color>이 있는 모든 영혼들의 이름이 표시될거야.",,,,,
Text,탐지기에서 특정 파동의 진폭과 주파수를 맞추면 그 파동에 대응하는 영혼의 <color=#26EEFF>혼잣말</color>을 들을 수 있지.,,,,,
Text,"그리고탐지기의 파동에 대응하는 <color=#26EEFF>영혼의 이름</color>을 불러야, 그 영혼의 자아를 되찾아줄 수 있어.",,,,,
Text,"이때 그 영혼과 <color=#26EEFF>같은 공간</color>에 있어야 하니, 알고 있으라고!",,,,,
Text,그리고 <color=#26EEFF>영혼 탐지경</color>을 쓰면 영혼들을 볼 수 있을거야.,,,,,
Text,탐지경이 불편해서 현장을 조사하기는 불편하겠지만... 여하튼.,,,,,
Choice,열심히 해야겠네요.,yes,선배님은 대체 하는게 뭐죠?,haha2,,
Label,yes,,,,,
Text,"그래, 같이 잘 해보자고.",,,,,
Flag,Saja_Corridor_1_Talk,,,,,
End,,,,,,
Label,haha2,,,,,
Text,"우, 우우... 우우우... 나도 할 땐 한다고!",,,,,
Text,빨리 일이나 하러 가!,,,,,
Flag,Saja_Corridor_1_Talk,,,,,
