CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F2_R2,,,,,
If,F2_LostPendent,p_have,p_not,,,
Label,p_not,,,,,
Speaker,,,,,,
,"영혼은 자신이 죽었다는 말을 듣고, 담담히 고개를 끄덕인다.",,,,,
Speaker,사자,,,,,
,그래서... 당신의 한은 무엇입니까?,,,,,
Speaker,한결,,,,,
Text,한이라 말하기 소소할 수는 있지만...,,,,,
Text,이 키링을 주인분께 돌려주실 수 있으실까요?,,,,,
Text,제가 직접 돌려드리면 놀라실 수도 있을 것 같아서요.,,,,,
Choice,받아든다.,ok,,,,
Label,ok,,,,,
Flag,F2_LostPendent,,,,,
Text,감사합니다. 계속 마음에 걸렸거든요.,,,,,
End,,,,,,
Label,p_have,,,,,
If,S06_SYN,cleared,clear_not,,,
Label,clear_not,,,,,
Speaker,한결,,,,,
Text,키링 주인은 아직 못 찾아주신 건가요?,,,,,
Text,제 생각엔... 201호에 사는 분의 것 같아요.,,,,,
End,,,,,,
Label,cleared,,,,,
Speaker,한결,,,,,
Text,다시 오셨군요. 앗...,,,,,
Speaker,유나,,,,,
Text,"안녕하세요!! 제 펜던트, 한결 씨가 가져다주셨다면서요!",,,,,
Speaker,한결,,,,,
Text,"역시 유나 씨 물건이었군요. 중요한 물건 같았는데, 돌려드릴 수 있어서 다행입니다.",,,,,
Speaker,유나,,,,,
Text,"헤헤, 감사합니다...",,,,,
Text,그나저나 제 물건인지 알아보셨다니 의외였어요! 이거 작아서 눈에 잘 안 띄는 편인데.,,,,,
Speaker,한결,,,,,
Text,"이제와서 이야기하는 거지만, 사실은... 평소에 좀 신경이 쓰였었거든요.",,,,,
Speaker,유나,,,,,
Text,헉! 저한테 호감이 있으셨다거나...,,,,,
Speaker,한결,,,,,
Text,네? 아! 그런건 아니었지만요.,,,,,
Speaker,유나,,,,,
Text,...앗.,,,,,
Speaker,한결,,,,,
Text,"제 동생과 비슷한 나이로 보이는데, 괜히 걱정이 되더라고요.",,,,,
Text,"자주 피곤해보이기도 하시고, 혼자 사신다고도 하셔서...",,,,,
Speaker,유나,,,,,
Text,"하핫... 회사가 힘들긴 했지만, 버틸 만하긴 했는걸요.",,,,,
Speaker,한결,,,,,
Text,..제 동생도 마지막까지 그렇게 말했었죠.,,,,,
Text,스스로 목숨을 끊기 전까지는...,,,,,
Speaker,유나,,,,,
Text,아......,,,,,
Speaker,한결,,,,,
Text,...너무 무거운 이야기를 해버렸네요.,,,,,
Text,그런 이유로 유나 씨께 시선이 갔습니다만...,,,,,
Text,누군가의 대체제로 이용된 것 같다고 느끼셨을 수도 있겠네요. 정말 죄송합니다.,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Speaker,유나,,,,,
Text,"아, 아니요! 진짜 괜찮으니깐!",,,,,
Text,"뭔가, 제가 한결씨께 가진 감정이 더 가벼운 것 같아 더 죄송하다고나 할까...",,,,,
Speaker,한결,,,,,
Text,네?,,,,,
Speaker,유나,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,"아, 아무것도 아니에요!",,,,,
Text,"...저기, 괜찮으시면 저승까지 같이 가지 않으시겠어요?",,,,,
Text,한결 씨 이야기를 더 듣고 싶어서요.,,,,,
Speaker,한결,,,,,
Text,"제가 말주변은 없지만, 괜찮으시다면... 기꺼이.",,,,,
Speaker,,,,,,
Text,"두 영혼의 한이 풀려, 같이 따라오게 되었다.",,,,,
Clear,S05_JHG,,,,,
