CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F1_C,,,,,
Speaker,민재,,,,,
Char,Minjae,,,,,
Text,......,,,,,
Text,...어? 무슨 상황인거죠?,,,,,
Speaker,저승사자,,,,,
Char,Saja,,,,,
Text,"강민재 씨, 당신은 사망하셨습니다.",,,,,
Speaker,민재,,,,,
Char,Minjae,,,,,
Text,......,,,,,
Sfx,Shake,,,,,
Shake,,,,,,
Text,네에에에에?,,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,저승까지 따라가주셔야겠습니다.,,,,,
Speaker,민재,,,,,
Char,Minjae,,,,,
Text,"아, 아니... 잠깐. 이렇게 떠날 순 없어요!",,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,"으음, 귀찮게 되었군......",,,,,
Char,Saja_Angry,,,,,
Text,"가랏, 신참아.",,,,,
Choice,네?,pardon,어딜 가죠?,pardon,사자님이 시범을 보이셔야...,haha
Label,haha,,,,,
Char,Saja,,,,,
Text,으음…...,,,,,
Char,Saja_What,,,,,
Text,으으으으음......,,,,,
Sfx,Shake,,,,,
Shake,,,,,,
Char,Saja_Angry2,,,,,
Text,이렇게 해야 네가 잘 배우지! 절대 내가 곤란해서 그런게 아니다!,,,,,
Label,pardon,,,,,
Char,Saja,,,,,
Text,네가 저 영혼의 '한'을 풀어주는 거다.,,,,,
Speaker,민재,,,,,
Char,Minjae,,,,,
Text,이렇게 노력해왔는데... 아무것도 이뤄내지 못한 채 떠날 수는 없어요.,,,,,
Speaker,,,,,,
Text,영혼이 어떤 것을 해냈는지 알려주자.,,,,,
ChoiceWithClue,고백 성공,wrong,신춘 문예상,right,면접 합격,wrong
Label,wrong,,,,,
Speaker,민재,,,,,
Char,Minjae,,,,,
Text,네? 무슨 이야기를 하시는 거죠?,,,,,
Speaker,,,,,,
Text,...단서를 잘 살펴보고 다시 이야기해보자.,,,,,
End,,,,,,
Label,right,,,,,
Speaker,민재,,,,,
Char,Minjae,,,,,
Text,네? 제가 대상이요?,,,,,
Text,와... 와하하하!,,,,,
Text,"드, 드디어 내 소설이 상을 탔다!",,,,,
Text,"하하, 하하하...",,,,,
Char,Minjae_Sad,,,,,
Text,......,,,,,
Text,...제가 소설 속 주인공이었으면 좋았을텐데 말이에요.,,,,,
Text,"소설이었다면 주인공이 수많은 고난 끝에, 결국은 성공해서 행복하게 살았습니다~",,,,,
Text,...라는 결말이었을텐데 말이에요. 그렇지 않나요?,,,,,
Text,......,,,,,
Text,그래도... 기쁘네요.,,,,,
Text,적어도 제가 쓴 글은 여명을 맞이할 수 있게 되었으니까.,,,,,
Speaker,,,,,,
Text,"영혼의 한이 풀려, 같이 따라오게 되었다.",,,,,
Sfx,Complete,,,,,
Clear,S01_KMJ,,,,,
