CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F3_R3,,,,,
If,F3_JunseoTalk,talk,first,,,
Label,first,,,,,
Flag,F3_JunseoTalk,,,,,
Speaker,,,,,,
Text,영혼은 상황을 전해듣고 담담히 수긍한다.,,,,,
Speaker,준서,,,,,
Char,Junseo,,,,,
Text,한이라면... 어머니가 마지막으로 제 이름을 불러주셨으면 하네요.,,,,,
Text,"마지막 순간에 치매 증상이 오셔서, 저에 대해 기억하지 못하고 같이 돌아가셨거든요.",,,,,
Label,talk,,,,,
If,S04_LSJ,clear,notclear,,,
Label,notclear,,,,,
Text,일단... 저희 어머니가 기억을 되찾으실 수 있게 도와주실 수 있으실까요?,,,,,
Speaker,,,,,,
Text,옆에 있는 사람의 기억을 찾아주자.,,,,,
Flag,F3_JunseoTalk,,,,,
End,,,,,,
Label,clear,,,,,
Speaker,준서,,,,,
Char,Junseo,,,,,
Text,어머니... 저 기억하시겠어요?,,,,,
Speaker,순자,,,,,
Char,Sunja_Awake,,,,,
Text,"그래, 준서야... 이제 다 기억이 나는구나.",,,,,
Text,친아들도 아닌데 항상 나 때문에 고생하구... 미안허이.,,,,,
Speaker,준서,,,,,
Char,Junseo_Smile,,,,,
Text,그런 말씀 마세요. 어머니는 오랜 시절부터 저희들에게 진짜 어머니 같은 분이시니까요.,,,,,
Text,보육원 동기들도 다들 어머니라 부르고 있잖아요?,,,,,
Speaker,순자,,,,,
Char,Sunja_Smile,,,,,
Text,"후후, 그래... 너희들 모두 내 아들이고 딸이지.",,,,,
Speaker,,,,,,
Sfx,Complete,,,,,
Text,"두 영혼의 한이 풀려, 같이 따라오게 되었다.",,,,,
