CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F2_R1,,,,,
If,Yuna_Meet,meet,first,,,
Label,first,,,,,
Speaker,유나,,,,,
Char,Yuna,,,,,
Text,"헛, 저승사자? 근데...",,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,"뭐, 뭡니까?",,,,,
Speaker,유나,,,,,
Char,Yuna,,,,,
Text,......,,,,,
Text,내 취향은 아니네...,,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,"취, 취향이라니 무슨 소리입니까.",,,,,
Speaker,유나,,,,,
Char,Yuna,,,,,
Text,제 취향의 잘생기고 몸도 좋은 저승사자가 데리러 와주길 기대하고 있었는데...,,,,,
Text,조금 실망...,,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,"이, 이래뵈도 난 저승에서 인기 많은 편인데...!",,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,귀여움 많이 받고 있다고!,,,,,
Speaker,유나,,,,,
Char,Yuna,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,그래도 제 취향 아닌 건 아닌 거라구요!,,,,,
Text,안경이라도 벗으면 모를까!,,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,"내, 내 안경은 왜!",,,,,
Text,너도 뭐라 좀 해봐!,,,,,
Choice,안경을 벗어야 한다.,off,안경은 꼭 쓰고 있어야 한다.,on,이 사람은 안경이다.,haha
Label,off,,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,"으으, 내가 왜...",,,,,
Speaker,,,,,,
Text,저승사자는 망설이다 결국 안경을 벗어본다.,,,,,
Speaker,유나,,,,,
Text,음......,,,,,
Text,......,,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,"뭐, 뭐야! 그 침묵은!",,,,,
Speaker,유나,,,,,
Char,Yuna,,,,,
Text,뭐라고 할까... 안경이 문제가 아닌 것 같네요.,,,,,
Text,역시 외모가 좀 아쉽달까......,,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,"너, 너무해......",,,,,
Jump,anyway,,,,,
Label,on,,,,,
Speaker,사자,,,,,
Text,"거봐, 들었지! 안경은 타협 못한다고!",,,,,
Jump,anyway,,,,,
Label,haha,,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,"무, 무슨 소리야! 나는 안경이 아니라 저승사자거든?!",,,,,
Label,anyway,,,,,
Speaker,유나,,,,,
Char,Yuna,,,,,
Text,"으음, 그렇다면...",,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,제 옆집 분이랑 대화할 기회라도 만들어주세요!,,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,옆집 사람은 왜?,,,,,
Speaker,유나,,,,,
Char,Yuna,,,,,
Text,"조, 조, 좋아했었는데 제대로 이야기해볼 기회가 없었어서...!",,,,,
Text,근데 그냥 대화하기는 어색하니까...,,,,,
Text,뭔가 대화 주제라도 만들어주세요!,,,,,
If,F2_LostPendent,pend,no_pend,,,
Label,no_pend,,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,"으으, 귀찮게 되었군...",,,,,
Flag,Yuna_Meet,,,,,
End,,,,,,
Label,meet,,,,,
Speaker,유나,,,,,
Char,Yuna,,,,,
Text,어떻게 되었나요? 대화 주제는?,,,,,
If,F2_LostPendent,pend,no_pend2,,,
Label,no_pend2,,,,,
End,,,,,,
Label,pend,,,,,
Choice,키링을 건넨다.,give,,,,
Label,give,,,,,
Speaker,유나,,,,,
Text,"제 키링? 앗, 그분이 주셨다고요?",,,,,
Text,으흐흐흐... 그럼 자연스럽게 감사인사를 하러...,,,,,
Speaker,,,,,,
Text,영혼이 일행에 합류했다.,,,,,
Clear,S06_SYN,,,,,
