CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F3_R3,,,,,
If,F3_SunjaTalk,talk,first,,,
Label,first,,,,,
Speaker,,,,,,
Text,"영혼은 상황을 전해들었지만, 고개를 갸우뚱한다.",,,,,
Speaker,순자,,,,,
Text,내 한? 모르겄는디...,,,,,
Speaker,사자,,,,,
Text,뭔가 기억나는 것 없으십니까?,,,,,
Speaker,순자,,,,,
Text,뭔가가 기억이 안 나는데... 그게 뭔지 기억이 잘 안 나는구만.,,,,,
Text,그게 기억이 안 나는게 한인 것 같기도 하구.,,,,,
Flag,F3_SunjaTalk,,,,,
Label,talk,,,,,
Speaker,,,,,,
Text,영혼이 기억을 되찾도록 도움을 주자.,,,,,
Speaker,순자,,,,,
Text,얼마전에 꽃집을 갔었는데... 어떤 이름의 꽃집이었더라?,,,,,
ChoiceWithClue,사랑 꽃집,right_1,기쁨 꽃집,wrong,희망 꽃집,wrong
Label,right_1,,,,,
Text,"그래, 그 꽃집에 갔는데... 기억이 가물가물하더라구.",,,,,
Text,꽃집 앞에서 있다가 옆옆집에 사는 처자와 만났었는데... 이름이 뭐였더라?,,,,,
ChoiceWithClue,박준서,wrong,서유나,wrong,최수아,right_2
Label,right_2,,,,,
Text,"아아, 그래. 그리고 그 처자가 데려다 줘서 집에 오다가 옆집 사람들도 봤었지.",,,,,
Text,그 사람들 이름이...,,,,,
ChoiceWithClue,"김희재, 최하윤",wrong,"김희재, 박하윤",right_3,"박준서, 박하윤",wrong
Label,right_3,,,,,
Text,그래... 이제 다 기억나는구만.,,,,,
Text,그리고 우리 아들을 만났었지.,,,,,
Text,......,,,,,
Text,우리 아들과 이야기해봐도 되겠남?,,,,,
Speaker,,,,,,
Text,영혼이 일행에 합류했다.,,,,,
Clear,S04_LSJ,,,,,
End,,,,,,
Label,wrong,,,,,
Text,아닌 것 같은데...,,,,,
Speaker,,,,,,
Text,...단서를 잘 살펴보고 다시 이야기해보자.,,,,,
