CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F4_R1,,,,,
Speaker,,,,,,
Text,"영혼은 상황을 전해듣자, 고개를 저으며 말한다.",,,,,
Speaker,영희,,,,,
Char,Yeonghui,,,,,
Text,제 가족... 그 아이가 없으면 갈 수 없어요!,,,,,
If,S08_KCS,ok,no,,,
Label,no,,,,,
Speaker,,,,,,
Text,이 사람이 말하는 <color=#26EEFF>'아이'</color>를 먼저 데려와야할 것 같다.,,,,,
End,,,,,,
Label,ok,,,,,
Speaker,철수,,,,,
Char,Chulsu,,,,,
Sfx,Dog2,,,,,
Text,멍멍! 멍멍멍멍!,,,,,
Speaker,,,,,,
Text,강아지가 해맑게 짖으며 달려왔다.,,,,,
Speaker,영희,,,,,
Char,Yeonghui_Smile,,,,,
Text,"철수야! 아하하, 핥지 마!",,,,,
Char,Yeonghui,,,,,
Text,......,,,,,
Text,내가 도망가라고 했는데 왜 나한테 왔던 거야......,,,,,
Speaker,철수,,,,,
Char,Chulsu,,,,,
Sfx,Dog2,,,,,
Text,멍! 멍멍멍!,,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,영희 씨가 위험했으니까 같이 있으려 했다고 합니다.,,,,,
Text,...나중에는 혼날까봐 숨어있었다고도...,,,,,
Speaker,영희,,,,,
Char,Yeonghui,,,,,
Text,"...정말이지, 난 너라도 살았으면 했는데...",,,,,
Text,많이 아팠을텐데......,,,,,
Text,......,,,,,
Char,Yeonghui_Smile,,,,,
Text,그래도... 앞으로는 꼭 같이 있을 수 있겠지.,,,,,
Speaker,철수,,,,,
Char,Chulsu_Smile,,,,,
Sfx,Dog,,,,,
Text,멍!,,,,,
Speaker,사자,,,,,
Char,Saja_Sad,,,,,
Text,......,,,,,
Speaker,,,,,,
Sfx,Complete,,,,,
Text,"두 영혼의 한이 풀려, 같이 따라오게 되었다.",,,,,
Clear,S07_KYH,,,,,
