CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F2_R2,,,,,
If,F2_LostPendent,p_have,p_not,,,
Label,p_not,,,,,
Speaker,,,,,,
Text,"魂は自分が死んだという言葉を聞いて、淡々と頷く。",,,,,
Speaker,使者,,,,,
Char,Saja,,,,,
Text,それで...あなたの怨みは何ですか?,,,,,
Speaker,ハンギョル,,,,,
Char,Hangyeol,,,,,
Text,怨みというには些細かもしれませんが...,,,,,
Text,この<color=#26EEFF>キーホルダー</color>を持ち主にお返しいただけますか?,,,,,
Text,私が直接お返ししたら驚かれるかもしれないので。,,,,,
Choice,受け取る。,ok,,,,
Label,ok,,,,,
Flag,F2_LostPendent,,,,,
Text,ありがとうございます。ずっと気になっていたんです。,,,,,
End,,,,,,
Label,p_have,,,,,
If,S06_SYN,cleared,clear_not,,,
Label,clear_not,,,,,
Speaker,ハンギョル,,,,,
Char,Hangyeol,,,,,
Text,キーホルダーの持ち主はまだ見つかりませんか?,,,,,
Text,私の考えでは...<color=#26EEFF>201号に住んでいる方</color>のものだと思います。,,,,,
End,,,,,,
Label,cleared,,,,,
Speaker,ハンギョル,,,,,
Char,Hangyeol,,,,,
Text,また来られたんですね。あっ...,,,,,
Speaker,ユナ,,,,,
Char,Yuna_Angry,,,,,
Text,"こんにちは!! 私のキーホルダー、ハンギョルさんが届けてくれたんですって!",,,,,
Speaker,ハンギョル,,,,,
Char,Hangyeol,,,,,
Text,やはりユナさんの物でしたか。お返しできてよかったです。,,,,,
Speaker,ユナ,,,,,
Char,Yuna,,,,,
Text,"へへ、ありがとうございます...",,,,,
Text,それにしても私の物だと分かったなんて意外でした! これ小さくて目立たない方なのに。,,,,,
Speaker,ハンギョル,,,,,
Char,Hangyeol,,,,,
Text,"今さらですが、実は...普段からちょっと気になっていたんです。",,,,,
Speaker,ユナ,,,,,
Char,Yuna,,,,,
Text,えっ! 私に好意があったとか...,,,,,
Speaker,ハンギョル,,,,,
Char,Hangyeol,,,,,
Text,え? あ! そういうわけではなかったんですが。,,,,,
Speaker,ユナ,,,,,
Char,Yuna_Angry,,,,,
Text,...あっ。,,,,,
Speaker,ハンギョル,,,,,
Char,Hangyeol,,,,,
Text,"私の弟と似た年齢に見えて、つい心配になったんです。",,,,,
Text,"よく疲れているようにも見えましたし、一人暮らしだとも聞いていたので...",,,,,
Speaker,ユナ,,,,,
Text,"はは...会社は大変でしたけど、なんとか耐えられたんですよ。",,,,,
Speaker,ハンギョル,,,,,
Char,Hangyeol_Huhu,,,,,
Text,..私の弟も最後まで同じことを言っていました。,,,,,
Text,自ら命を絶つまでは...,,,,,
Speaker,ユナ,,,,,
Char,Yuna_Sad,,,,,
Text,ああ......,,,,,
Speaker,ハンギョル,,,,,
Char,Hangyeol_Smile,,,,,
Text,...重い話をしてしまいましたね。,,,,,
Text,そんな理由でユナさんに視線が向いていたんですが...,,,,,
Text,誰かの代替品として利用されたと感じたかもしれませんね。本当に申し訳ありません。,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Speaker,ユナ,,,,,
Char,Yuna_Sad,,,,,
Text,"い、いえ! 本当に大丈夫ですから!",,,,,
Text,"なんというか、私がハンギョルさんに抱いた感情の方が軽いような気がして、むしろ申し訳ないというか...",,,,,
Speaker,ハンギョル,,,,,
Char,Hangyeol,,,,,
Text,え?,,,,,
Speaker,ユナ,,,,,
Char,Yuna,,,,,
Char,Yuna_Angry,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,"あ、何でもないです!",,,,,
Char,Yuna,,,,,
Text,"...あの、よかったら冥府まで一緒に行きませんか?",,,,,
Char,Yuna_Smile,,,,,
Text,ハンギョルさんのお話をもっと聞きたくて。,,,,,
Speaker,ハンギョル,,,,,
Char,Hangyeol_Smile,,,,,
Text,"私は話し上手ではありませんが、それでもよろしければ...喜んで。",,,,,
Speaker,,,,,,
Sfx,Complete,,,,,
Text,"二つの魂の怨みが晴れ、一緒についてくることになった。",,,,,
Clear,S05_JHG,,,,,
