CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F4_R3,,,,,
If,S10_CSJ,ok,no,,,
Label,no,,,,,
Speaker,チョルス,,,,,
Char,Chulsu,,,,,
Shake,,,,,,
Sfx,Dog2,,,,,
Text,ワン!ワンワンワン!,,,,,
Speaker,使者,,,,,
Char,Saja_What,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,う...うわっ!落ち着いてください!,,,,,
Speaker,,,,,,
Text,犬は警戒しながら吠えている。,,,,,
Text,どうやら隣にいる魂が一人残るのが心配なようだ。,,,,,
End,,,,,,
Label,ok,,,,,
Speaker,チョルス,,,,,
Char,Chulsu,,,,,
Sfx,Dog,,,,,
Text,ワン!,,,,,
Speaker,,,,,,
Text,犬は子供が去ると、満足そうに吠えながらついてくる。,,,,,
Speaker,使者,,,,,
Char,Saja_What,,,,,
Text,ふぅ...,,,,,
Clear,S08_KCS,,,,,
