CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F3_R3,,,,,
If,F3_JunseoTalk,talk,first,,,
Label,first,,,,,
Flag,F3_JunseoTalk,,,,,
Speaker,,,,,,
Text,魂は状況を聞いて淡々と頷く。,,,,,
Speaker,ジュンソ,,,,,
Char,Junseo,,,,,
Text,怨みと言えば...母が最後に私の名前を呼んでくれたらと思います。,,,,,
Text,最後の瞬間に認知症の症状が出て、私のことを覚えていないまま一緒に亡くなったんです。,,,,,
Label,talk,,,,,
If,S04_LSJ,clear,notclear,,,
Label,notclear,,,,,
Speaker,ジュンソ,,,,,
Char,Junseo,,,,,
Text,とりあえず...母が記憶を取り戻せるように助けていただけますか?,,,,,
Speaker,,,,,,
Text,隣にいる人の記憶を探してあげよう。,,,,,
Flag,F3_JunseoTalk,,,,,
End,,,,,,
Label,clear,,,,,
Speaker,ジュンソ,,,,,
Char,Junseo,,,,,
Text,お母さん...私のこと覚えていますか?,,,,,
Speaker,スンジャ,,,,,
Char,Sunja_Awake,,,,,
Text,ええ、ジュンソ...もう全部思い出したよ。,,,,,
Text,実の息子でもないのにいつも私のせいで苦労して...ごめんね。,,,,,
Speaker,ジュンソ,,,,,
Char,Junseo_Smile,,,,,
Text,そんなこと言わないでください。お母さんは昔から私たちにとって本当のお母さんのような方ですから。,,,,,
Text,保育院の同期たちもみんなお母さんって呼んでるじゃないですか?,,,,,
Speaker,スンジャ,,,,,
Char,Sunja_Smile,,,,,
Text,ふふ、そうだね...お前たちみんな私の息子であり娘だよ。,,,,,
Speaker,,,,,,
Sfx,Complete,,,,,
Text,二つの魂の怨みが晴れ、一緒についてくることになった。,,,,,
Clear,S03_PJS,,,,,
