CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F2_R1,,,,,
If,Yuna_Meet,meet,first,,,
Label,first,,,,,
Speaker,ユナ,,,,,
Char,Yuna,,,,,
Text,"あら、冥府の使者? でも...",,,,,
Speaker,使者,,,,,
Char,Saja,,,,,
Text,"な、何ですか?",,,,,
Speaker,ユナ,,,,,
Char,Yuna_Sad,,,,,
Text,......,,,,,
Bgm,Saja,,,,,
Text,私の好みじゃないな...,,,,,
Speaker,使者,,,,,
Char,Saja_What,,,,,
Text,"好、好みってどういうことですか。",,,,,
Speaker,ユナ,,,,,
Char,Yuna,,,,,
Text,私の好みのマッチョなイケメン冥府の使者が迎えに来てくれることを期待してたのに...,,,,,
Text,ちょっと...いや、かなりがっかり...,,,,,
Speaker,使者,,,,,
Char,Saja_Angry,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,"こ、こう見えても俺、冥府で人気のある方なんだぞ...!",,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,可愛がられてるんだからな!,,,,,
Speaker,ユナ,,,,,
Char,Yuna_Angry,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,それでも私の好みじゃないことには変わりませんから!,,,,,
Text,せめて眼鏡でも外せば分からないけど!,,,,,
Speaker,使者,,,,,
Char,Saja_What,,,,,
Text,"な、なんで俺の眼鏡が!",,,,,
Text,お前も何か言ってくれよ!,,,,,
Choice,眼鏡を外すべきだ。,off,眼鏡は絶対にかけていなければならない。,on,この人は眼鏡だ。,haha
Label,off,,,,,
Speaker,使者,,,,,
Char,Saja,,,,,
Text,"うぅ、なんで俺が...",,,,,
Speaker,,,,,,
Char,Saja_NoGlasses,,,,,
Text,冥府の使者は躊躇しながらも結局眼鏡を外してみる。,,,,,
Speaker,ユナ,,,,,
Text,うーん......,,,,,
Text,......,,,,,
Speaker,使者,,,,,
Char,Saja_NoGlasses,,,,,
Text,"な、何ですか! その沈黙は!",,,,,
Speaker,ユナ,,,,,
Char,Yuna,,,,,
Text,なんて言うか...眼鏡が問題じゃないみたいですね。,,,,,
Text,やっぱり外見が問題なのかな...,,,,,
Speaker,使者,,,,,
Char,Saja_Sad2,,,,,
Text,"ひ、ひどすぎる......",,,,,
Jump,anyway,,,,,
Label,on,,,,,
Speaker,使者,,,,,
Char,Saja_Angry2,,,,,
Text,"ほら、聞いたか! 眼鏡は譲れないって!",,,,,
Jump,anyway,,,,,
Label,haha,,,,,
Speaker,使者,,,,,
Char,Saja,,,,,
Char,Saja_What,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,"な、何言ってるんだ! 俺は眼鏡じゃなくて冥府の使者だぞ?!",,,,,
Label,anyway,,,,,
Speaker,ユナ,,,,,
Char,Yuna,,,,,
Text,"うーん、それなら...",,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Char,Yuna_Angry,,,,,
Text,私の隣の部屋の人と話す機会くらい作ってください!,,,,,
Speaker,使者,,,,,
Char,Saja,,,,,
Text,隣の人は何で?,,,,,
Speaker,ユナ,,,,,
Char,Yuna_Angry,,,,,
Text,"す、す、好きだったのにちゃんと話す機会がなかったから...!",,,,,
Text,でもいきなり話しかけるのは気まずいので...,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,何か話題くらい作ってください!,,,,,
If,F2_LostPendent,pend,no_pend,,,
Label,no_pend,,,,,
Speaker,使者,,,,,
Char,Saja_What,,,,,
Text,"うぅ、面倒なことになったな...",,,,,
Flag,Yuna_Meet,,,,,
End,,,,,,
Label,meet,,,,,
Speaker,ユナ,,,,,
Char,Yuna,,,,,
Text,どうでしたか? 話題は?,,,,,
If,F2_LostPendent,pend,no_pend2,,,
Label,no_pend2,,,,,
End,,,,,,
Label,pend,,,,,
Choice,キーホルダーを渡す。,give,,,,
Label,give,,,,,
Speaker,ユナ,,,,,
Char,Yuna,,,,,
Text,"私のキーホルダー? あっ、あの方が届けてくれたんですか?",,,,,
Text,うふふふ...それなら自然にお礼を言いに...,,,,,
Speaker,,,,,,
Text,魂が一行に合流した。,,,,,
Clear,S06_SYN,,,,,
