CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F4_R3,,,,,
Speaker,,,,,,
Text,魂は状況を聞くと、じっくり考えてから言う。,,,,,
Speaker,ミヨン,,,,,
Char,Miyeon,,,,,
Text,私の子...と一緒に行きたいんですが、もしかして探していただけますか?,,,,,
Text,確かに最後の瞬間まで一緒にいたのに...死んだ後に目覚めたら、いなくなっていました。,,,,,
If,S10_CSJ,ok,no,,,
Label,no,,,,,
Speaker,,,,,,
Text,この人が言っている<color=#26EEFF>「子供」</color>を先に連れてこなければならないようだ。,,,,,
End,,,,,,
Label,ok,,,,,
Speaker,セジン,,,,,
Char,Sejin,,,,,
Text,......,,,,,
Speaker,,,,,,
Text,子供はためらいながら部屋の中に入ってきた。,,,,,
Speaker,ミヨン,,,,,
Char,Miyeon,,,,,
Text,セジン!,,,,,
Text,ごめんね...おばさんが助けてあげられなくて。,,,,,
Speaker,セジン,,,,,
Char,Sejin,,,,,
Text,いえ...私を助けようと部屋に入ってきてくださったじゃないですか。,,,,,
Text,あまりにも申し訳なくて隠れていました...,,,,,
Speaker,ミヨン,,,,,
Char,Miyeon,,,,,
Text,大丈夫、大丈夫。もう一緒に行こう。,,,,,
Speaker,セジン,,,,,
Char,Sejin,,,,,
Text,はい、おば...お母さん。,,,,,
Speaker,使者,,,,,
Char,Saja_Sad,,,,,
Text,......,,,,,
Sfx,Complete,,,,,
Text,二つの魂のハンが解け、一緒についてくることになった。,,,,,
Clear,S09_IMY,,,,,
