CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F1_C,,,,,
Speaker,ミンジェ,,,,,
Char,Minjae,,,,,
Text,......,,,,,
Text,...え? どういう状況ですか?,,,,,
Speaker,使者,,,,,
Char,Saja,,,,,
Text,カン・ミンジェさん、あなたは亡くなりました。,,,,,
Speaker,ミンジェ,,,,,
Char,Minjae,,,,,
Text,......,,,,,
Sfx,Shake,,,,,
Shake,,,,,,
Text,ええええええ?,,,,,
Speaker,使者,,,,,
Char,Saja,,,,,
Text,冥府まで一緒に来ていただかなければなりません。,,,,,
Speaker,ミンジェ,,,,,
Char,Minjae,,,,,
Text,い、いや...ちょっと待って。こんなふうに行くわけにはいきません!,,,,,
Speaker,使者,,,,,
Char,Saja,,,,,
Text,うーん、面倒なことになったな......,,,,,
Char,Saja_Angry,,,,,
Text,行け、新人!,,,,,
Choice,はい?,pardon,どこに行くんですか?,pardon,使者様が手本を見せないと...,haha
Label,haha,,,,,
Char,Saja,,,,,
Text,うーん......,,,,,
Char,Saja_What,,,,,
Text,うううううーん......,,,,,
Sfx,Shake,,,,,
Shake,,,,,,
Char,Saja_Angry2,,,,,
Text,お前が学ぶにはこれが一番だ! 決して俺が困ってるわけじゃないんだぞ!,,,,,
Label,pardon,,,,,
Char,Saja,,,,,
Text,お前があの魂の「ハン」を解くんだ。,,,,,
Speaker,ミンジェ,,,,,
Char,Minjae,,,,,
Text,こんなに努力してきたのに...何も成し遂げられないまま去るわけにはいきません。,,,,,
Speaker,,,,,,
Text,魂が何を成し遂げたのか教えてあげよう。,,,,,
ChoiceWithClue,告白成功,wrong,新春文芸賞,right,面接合格,wrong
Label,wrong,,,,,
Speaker,ミンジェ,,,,,
Char,Minjae,,,,,
Text,はい? どういう話ですか?,,,,,
Speaker,,,,,,
Text,...手がかりをよく調べてからもう一度話してみよう。,,,,,
End,,,,,,
Label,right,,,,,
Speaker,ミンジェ,,,,,
Char,Minjae,,,,,
Text,はい? 僕が大賞ですか?,,,,,
Text,わ...わはははは!,,,,,
Text,つ、ついに僕の小説が賞を取った!,,,,,
Text,はは、はははは...,,,,,
Char,Minjae_Sad,,,,,
Text,......,,,,,
Text,...僕が小説の主人公だったらよかったのにと思います。,,,,,
Text,小説だったら、主人公が数多くの苦難の末、結局は成功して幸せに暮らしました〜,,,,,
Text,...という結末だったのに。そうじゃないですか?,,,,,
Text,......,,,,,
Text,でも...嬉しいです。,,,,,
Text,少なくとも僕が書いた文章は夜明けを迎えることができるようになったのだから。,,,,,
Speaker,,,,,,
Text,魂のハンが解け、一緒についてくることになった。,,,,,
Sfx,Complete,,,,,
Clear,S01_KMJ,,,,,
