CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F1_C,,,,,
Bgm,Saja,,,,,
Speaker,使者,,,,,
Char,Saja_What,,,,,
Text,うう、やることが増えちゃったな。,,,,,
Choice,これからどうすればいいんですか?,question,うっかりした冥府の使者まで世話する仕事?,haha,,
Label,haha,,,,,
Char,Saja_Angry2,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,な、なな、何、俺に言ってるのか?,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,俺...俺はうっかりなんかしてないぞ!,,,,,
Char,Saja,,,,,
Text,う、とにかく...お前がやるべきことを整理して教えてやる。,,,,,
Label,question,,,,,
Char,Saja,,,,,
Text,まず、現場を調査して<color=#26EEFF>魂の名前</color>を推理する。,,,,,
Char,Saja_Angry,,,,,
Text,次に、<color=#26EEFF>霊波探知器</color>にはその階にいる<color=#26EEFF>怨み</color>を持つすべての魂たちの名前が表示される。,,,,,
Char,Saja,,,,,
Text,探知器で特定の波動の振幅と周波数を合わせれば、その波動に対応する魂の<color=#26EEFF>独り言</color>を聞くことができる。,,,,,
Text,そして探知器の波動に対応する<color=#26EEFF>魂の名前</color>を呼ばなければ、その魂の自我を取り戻させることができる。,,,,,
Char,Saja_Angry,,,,,
Text,この時、その魂と<color=#26EEFF>同じ空間</color>にいなければならないから、覚えておけ!,,,,,
Char,Saja,,,,,
Text,そして<color=#26EEFF>魂探知器</color>を使えば魂たちを見ることができる。,,,,,
Text,探知器が不便で現場を調査するのは不便だろうが...まあいい。,,,,,
Choice,頑張らなきゃですね。,yes,先輩は一体何をしてるんですか?,haha2,,
Label,yes,,,,,
Text,そうだ、一緒によくやっていこう。,,,,,
Flag,Saja_Corridor_1_Talk,,,,,
End,,,,,,
Label,haha2,,,,,
Char,Saja_Sad2,,,,,
Text,う、ううっ...ううう...俺だってやる時はやるんだぞ!,,,,,
Char,Saja_Angry,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,早く仕事しに行け!,,,,,
Flag,Saja_Corridor_1_Talk,,,,,
