CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F3_R1,,,,,
Speaker,スア,,,,,
Char,Sua,,,,,
Text,え? 私が死んだんですか?,,,,,
Speaker,使者,,,,,
Char,Saja,,,,,
Text,そうです。もう私に付いて冥府まで行かなければ...,,,,,
Speaker,スア,,,,,
Char,Sua,,,,,
Text,......,,,,,
Bgm,Saja,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Char,Sua_Wa,,,,,
Text,すごい!!!,,,,,
Speaker,使者,,,,,
Char,Saja_Sad,,,,,
Text,え??,,,,,
Speaker,スア,,,,,
Char,Sua_Wa,,,,,
Text,死後の世界はあったんですね? じゃああなたは冥府の使者?,,,,,
Text,冥府の使者は手も冷たいの? 一度触ってもいいですか?,,,,,
Speaker,使者,,,,,
Char,Saja_Sad,,,,,
Text,"お、落ち着いてください...",,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Char,Saja_What,,,,,
Text,ひいっ!!,,,,,
Speaker,スア,,,,,
Char,Sua,,,,,
Text,おお...私も死んでるから? あまり冷たくないですね。,,,,,
Speaker,使者,,,,,
Char,Saja_What,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,な何何何をしてるんですか!!,,,,,
Speaker,スア,,,,,
Char,Sua,,,,,
Text,私は気になることは我慢できないんですよ〜,,,,,
Char,Sua_Wa,,,,,
Text,あ! じゃあ冥府の使者は心臓の音も聞こえないんですか?,,,,,
Text,"気になるんですけど、もしかして...",,,,,
Speaker,使者,,,,,
Char,Saja,,,,,
Text,......,,,,,
Text,......,,,,,
HideChar,,,,,,
Sfx,Footstep,,,,,
Speaker,,,,,,
Text,冥府の使者は逃げてしまった...,,,,,
Speaker,スア,,,,,
Char,Sua,,,,,
Text,あっ、どこ行くんですか! ちょっとだけでいいですから!,,,,,
HideChar,,,,,,
Sfx,Footstep,,,,,
Wait,0.5,,,,,
Speaker,使者,,,,,
Shake,,,,,,
Sfx,Collapse,,,,,
Text,きゃあああああああああああ-!!!,,,,,
Wait,3,,,,,
Speaker,,,,,,
Text,......,,,,,
Text,数分後、魂と冥府の使者が戻ってきた。,,,,,
Speaker,使者,,,,,
Char,Saja_Sad2,,,,,
Text,うぅ... うぅぅ...,,,,,
Text,家に帰りたい... しくしく...,,,,,
Speaker,スア,,,,,
Char,Sua,,,,,
Text,もう私ったら... 好奇心が抑えられなくて。すみません!!,,,,,
Choice,一体何があったんですか?!,then,,,,
Label,then,,,,,
Text,大したことじゃなくて... 一緒に走ってて派手に転んじゃっただけですよ。,,,,,
Text,偶然使者様の懐に倒れ込んだおかげで疑問解決!,,,,,
Char,Sua_Smile,,,,,
Text,もう気になることは全部解決したのでついていきます!,,,,,
Speaker,,,,,,
Sfx,Complete,,,,,
Text,紆余曲折の末に魂の怨みが晴れたようだ...,,,,,
Clear,S02_CSA,,,,,
