CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F2_R1,,,,,
If,Yuna_Meet,meet,first,,,
Label,first,,,,,
Speaker,Yuna,,,,,
Char,Yuna,,,,,
Text,"Huh, Saja? But...",,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,"Wh-what is it?",,,,,
Speaker,Yuna,,,,,
Char,Yuna_Sad,,,,,
Text,......,,,,,
Bgm,Saja,,,,,
Text,Not my type...,,,,,
Speaker,Saja,,,,,
Char,Saja_What,,,,,
Text,"T-type? What do you mean?",,,,,
Speaker,Yuna,,,,,
Char,Yuna,,,,,
Text,I was hoping a handsome flower boy Saja with a nice body would come for me...,,,,,
Text,A little... no very disappointed...,,,,,
Speaker,Saja,,,,,
Char,Saja_Angry,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,"I-I'll have you know I'm quite popular in the afterlife...!",,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,I get lots of love!,,,,,
Speaker,Yuna,,,,,
Char,Yuna_Angry,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,Still not my type though!,,,,,
Text,Maybe if you took off those glasses!,,,,,
Speaker,Saja,,,,,
Char,Saja_What,,,,,
Text,"Wh-what about my glasses!",,,,,
Text,Say something!,,,,,
Choice,You should take off the glasses.,off,You must keep wearing the glasses.,on,This person IS the glasses.,haha
Label,off,,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,"Ugh, why should I...",,,,,
Speaker,,,,,,
Char,Saja_NoGlasses,,,,,
Text,Saja hesitates but eventually takes off the glasses.,,,,,
Speaker,Yuna,,,,,
Text,Hmm......,,,,,
Text,......,,,,,
Speaker,Saja,,,,,
Char,Saja_NoGlasses,,,,,
Text,"Wh-what! What's with the silence!",,,,,
Speaker,Yuna,,,,,
Char,Yuna,,,,,
Text,How should I put it... I don't think the glasses are the problem.,,,,,
Text,Maybe it's the face after all...,,,,,
Speaker,Saja,,,,,
Char,Saja_Sad2,,,,,
Text,"Th-that's too harsh......",,,,,
Jump,anyway,,,,,
Label,on,,,,,
Speaker,Saja,,,,,
Char,Saja_Angry2,,,,,
Text,"See, you heard! No compromising on the glasses!",,,,,
Jump,anyway,,,,,
Label,haha,,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Char,Saja_What,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,"Wh-what are you saying! I'm not glasses, I'm Saja!",,,,,
Label,anyway,,,,,
Speaker,Yuna,,,,,
Char,Yuna,,,,,
Text,"Hmm, in that case...",,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Char,Yuna_Angry,,,,,
Text,At least give me a chance to talk to my neighbor!,,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,Why the neighbor?,,,,,
Speaker,Yuna,,,,,
Char,Yuna_Angry,,,,,
Text,"I-I liked him but never had the chance to really talk...!",,,,,
Text,But it would be awkward to just start talking...,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,At least give me something to talk about!,,,,,
If,F2_LostPendent,pend,no_pend,,,
Label,no_pend,,,,,
Speaker,Saja,,,,,
Char,Saja_What,,,,,
Text,"Ugh, this is getting troublesome...",,,,,
Flag,Yuna_Meet,,,,,
End,,,,,,
Label,meet,,,,,
Speaker,Yuna,,,,,
Char,Yuna,,,,,
Text,How did it go? Did you find a conversation topic?,,,,,
If,F2_LostPendent,pend,no_pend2,,,
Label,no_pend2,,,,,
End,,,,,,
Label,pend,,,,,
Choice,Give the keyring.,give,,,,
Label,give,,,,,
Speaker,Yuna,,,,,
Char,Yuna,,,,,
Text,"My keyring? Oh, he gave it to you?",,,,,
Text,Ehehehe... Then I can naturally go thank him...,,,,,
Speaker,,,,,,
Text,The soul has joined the group.,,,,,
Clear,S06_SYN,,,,,
