CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F3_R3,,,,,
If,F3_JunseoTalk,talk,first,,,
Label,first,,,,,
Flag,F3_JunseoTalk,,,,,
Speaker,,,,,,
Text,The soul hears the situation and calmly accepts it.,,,,,
Speaker,Junseo,,,,,
Char,Junseo,,,,,
Text,If it's about han... I wish my mother could have called my name one last time.,,,,,
Text,"At the final moment, her dementia returned and she passed away not remembering me.",,,,,
Label,talk,,,,,
If,S04_LSJ,clear,notclear,,,
Label,notclear,,,,,
Speaker,Junseo,,,,,
Char,Junseo,,,,,
Text,First... could you help my mother regain her memories?,,,,,
Speaker,,,,,,
Text,Let's help the person next to them recover their memories.,,,,,
Flag,F3_JunseoTalk,,,,,
End,,,,,,
Label,clear,,,,,
Speaker,Junseo,,,,,
Char,Junseo,,,,,
Text,Mother... do you remember me?,,,,,
Speaker,Sunja,,,,,
Char,Sunja_Awake,,,,,
Text,"Yes, Junseo... I remember everything now.",,,,,
Text,You're not even my biological son but you've always worked hard because of me... I'm sorry.,,,,,
Speaker,Junseo,,,,,
Char,Junseo_Smile,,,,,
Text,Please don't say that. You've been like a real mother to all of us for so long.,,,,,
Text,All my fellow orphans call you mother too don't they?,,,,,
Speaker,Sunja,,,,,
Char,Sunja_Smile,,,,,
Text,"Hoho, yes... you're all my sons and daughters.",,,,,
Speaker,,,,,,
Sfx,Complete,,,,,
Text,"Both souls' han have been resolved, and they now follow along.",,,,,
Clear,S03_PJS,,,,,
