CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F1_C,,,,,
Speaker,Minjae,,,,,
Char,Minjae,,,,,
Text,......,,,,,
Text,...Huh? What's going on?,,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,"Mr. Kang Minjae, you have passed away.",,,,,
Speaker,Minjae,,,,,
Char,Minjae,,,,,
Text,......,,,,,
Sfx,Shake,,,,,
Shake,,,,,,
Text,Whaaaaat?,,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,You need to follow me to the afterlife.,,,,,
Speaker,Minjae,,,,,
Char,Minjae,,,,,
Text,"N-no... wait. I can't leave like this!",,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,"Hmm, this is getting troublesome......",,,,,
Char,Saja_Angry,,,,,
Text,"Go on, rookie.",,,,,
Choice,Pardon?,pardon,Where are we going?,pardon,Shouldn't you demonstrate first...,haha
Label,haha,,,,,
Char,Saja,,,,,
Text,Hmm.....,,,,,
Char,Saja_What,,,,,
Text,Hmmmmm......,,,,,
Sfx,Shake,,,,,
Shake,,,,,,
Char,Saja_Angry2,,,,,
Text,This is how you'll learn best! It's definitely not because I'm in trouble!,,,,,
Label,pardon,,,,,
Char,Saja,,,,,
Text,You need to resolve this soul's 'han'.,,,,,
Speaker,Minjae,,,,,
Char,Minjae,,,,,
Text,I've worked so hard... I can't leave without accomplishing anything.,,,,,
Speaker,,,,,,
Text,Let's tell the soul what they've achieved.,,,,,
ChoiceWithClue,Successful confession,wrong,Literary award,right,Job interview success,wrong
Label,wrong,,,,,
Speaker,Minjae,,,,,
Char,Minjae,,,,,
Text,Huh? What are you talking about?,,,,,
Speaker,,,,,,
Text,...Let's examine the clues more carefully and try again.,,,,,
End,,,,,,
Label,right,,,,,
Speaker,Minjae,,,,,
Char,Minjae,,,,,
Text,What? I won the grand prize?,,,,,
Text,Wow... Wahahahaha!,,,,,
Text,"F-finally, my novel won an award!",,,,,
Text,"Haha, hahaha...",,,,,
Char,Minjae_Sad,,,,,
Text,......,,,,,
Text,...I wish I could have been the protagonist of my own novel.,,,,,
Text,"If this were a novel, the protagonist would have overcome countless hardships and lived happily ever after~",,,,,
Text,...That's how it would have ended. Right?,,,,,
Text,......,,,,,
Text,Still... I'm happy.,,,,,
Text,At least my writing will see the light of dawn.,,,,,
Speaker,,,,,,
Text,"The soul's han has been resolved, and they now follow along.",,,,,
Sfx,Complete,,,,,
Clear,S01_KMJ,,,,,
