CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F4_R3,,,,,
Speaker,,,,,,
Text,"Upon hearing the situation, the soul thinks carefully and speaks.",,,,,
Speaker,Miyeon,,,,,
Char,Miyeon,,,,,
Text,"I want to go with my child... Could you possibly find them for me?",,,,,
Text,"We were definitely together until the very end... but when I woke up after dying, they had disappeared.",,,,,
If,S10_CSJ,ok,no,,,
Label,no,,,,,
Speaker,,,,,,
Text,We need to bring the <color=#26EEFF>'child'</color> this person is talking about first.,,,,,
End,,,,,,
Label,ok,,,,,
Speaker,Sejin,,,,,
Char,Sejin,,,,,
Text,......,,,,,
Speaker,,,,,,
Text,The child hesitantly entered the room.,,,,,
Speaker,Miyeon,,,,,
Char,Miyeon,,,,,
Text,Sejin!,,,,,
Text,I'm sorry... I couldn't save you.,,,,,
Speaker,Sejin,,,,,
Char,Sejin,,,,,
Text,No... You came into the room trying to save me.,,,,,
Text,I was hiding because I felt so sorry...,,,,,
Speaker,Miyeon,,,,,
Char,Miyeon,,,,,
Text,"It's okay, it's okay. Let's go together now.",,,,,
Speaker,Sejin,,,,,
Char,Sejin,,,,,
Text,"Yes, aun-... Mom.",,,,,
Speaker,Saja,,,,,
Char,Saja_Sad,,,,,
Text,......,,,,,
Sfx,Complete,,,,,
Text,"Both souls' han have been resolved, and they now follow along.",,,,,
Clear,S09_IMY,,,,,
