CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F3_R3,,,,,
If,F3_SunjaTalk,talk,first,,,
Label,first,,,,,
Speaker,,,,,,
Text,"The soul hears the situation, but tilts their head in confusion.",,,,,
Speaker,Sunja,,,,,
Char,Sunja,,,,,
Text,My han? I'm not sure...,,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,Is there anything you can remember?,,,,,
Speaker,Sunja,,,,,
Char,Sunja,,,,,
Text,There's something I can't remember... but I can't recall what it is.,,,,,
Text,I think not being able to remember it is my han.,,,,,
Flag,F3_SunjaTalk,,,,,
Label,talk,,,,,
Speaker,,,,,,
Text,Let's help the soul recover their memories.,,,,,
Speaker,Sunja,,,,,
Char,Sunja,,,,,
Text,I went to a flower shop a while ago... what was the name of that shop?,,,,,
ChoiceWithClue,Sarang Flower Shop,right_1,Gippeum Flower Shop,wrong,Huimang Flower Shop,wrong
Label,right_1,,,,,
Text,"Yes, I went to that flower shop... but my memory is hazy.",,,,,
Text,I was in front of the flower shop when I met a young lady who lives two doors down... what was her name?,,,,,
ChoiceWithClue,Park Junseo,wrong,Seo Yuna,wrong,Choi Sua,right_2
Label,right_2,,,,,
Text,"Ah, yes. And that young lady took me home, and on the way I saw the neighbors.",,,,,
Text,Their names were...,,,,,
ChoiceWithClue,"Kim Heejae, Choi Hayun",wrong,"Kim Heejae, Park Hayun",right_3,"Park Junseo, Park Hayun",wrong
Label,right_3,,,,,
Text,Yes... I remember everything now.,,,,,
Char,Sunja_Awake,,,,,
Text,And then I met my son.,,,,,
Text,......,,,,,
Text,Could I talk to my son?,,,,,
Speaker,,,,,,
Text,The soul has joined the group.,,,,,
Clear,S04_LSJ,,,,,
End,,,,,,
Label,wrong,,,,,
Text,That doesn't seem right...,,,,,
Speaker,,,,,,
Text,...Let's examine the clues more carefully and try again.,,,,,
