CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F4_R1,,,,,
Speaker,,,,,,
Text,"Upon hearing the situation, the soul shakes their head and says.",,,,,
Speaker,Younghee,,,,,
Char,Yeonghui,,,,,
Text,My family... I can't go without that child!,,,,,
If,S08_KCS,ok,no,,,
Label,no,,,,,
Speaker,,,,,,
Text,We need to bring the <color=#26EEFF>'child'</color> this person is talking about first.,,,,,
End,,,,,,
Label,ok,,,,,
Speaker,Cheolsu,,,,,
Char,Chulsu,,,,,
Sfx,Dog2,,,,,
Text,Woof woof! Woof woof woof!,,,,,
Speaker,,,,,,
Text,The puppy barks happily and runs over.,,,,,
Speaker,Younghee,,,,,
Char,Yeonghui_Smile,,,,,
Text,"Cheolsu! Ahaha, stop licking me!",,,,,
Char,Yeonghui,,,,,
Text,......,,,,,
Text,I told you to run away so why did you come back to me......,,,,,
Speaker,Cheolsu,,,,,
Char,Chulsu,,,,,
Sfx,Dog2,,,,,
Text,Woof! Woof woof woof!,,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,He says he wanted to stay with you because you were in danger.,,,,,
Text,...He also says he hid later because he was afraid of getting scolded...,,,,,
Speaker,Younghee,,,,,
Char,Yeonghui,,,,,
Text,...Really, I wanted at least you to survive...,,,,,
Text,It must have hurt so much......,,,,,
Text,......,,,,,
Char,Yeonghui_Smile,,,,,
Text,But... from now on we can always be together.,,,,,
Speaker,Cheolsu,,,,,
Char,Chulsu_Smile,,,,,
Sfx,Dog,,,,,
Text,Woof!,,,,,
Speaker,Saja,,,,,
Char,Saja_Sad,,,,,
Text,......,,,,,
Speaker,,,,,,
Sfx,Complete,,,,,
Text,"Both souls' han have been resolved, and they now follow along.",,,,,
Clear,S07_KYH,,,,,
