CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F4_R3,,,,,
If,S10_CSJ,ok,no,,,
Label,no,,,,,
Speaker,Cheolsu,,,,,
Char,Chulsu,,,,,
Shake,,,,,,
Sfx,Dog2,,,,,
Text,Bark! Bark bark bark!,,,,,
Speaker,Saja,,,,,
Char,Saja_What,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,Ugh... Ahhh! Please calm down!,,,,,
Speaker,,,,,,
Text,The puppy is barking defensively.,,,,,
Text,It seems worried about leaving the soul next to it alone.,,,,,
End,,,,,,
Label,ok,,,,,
Speaker,Cheolsu,,,,,
Char,Chulsu,,,,,
Sfx,Dog,,,,,
Text,Woof!,,,,,
Speaker,,,,,,
Text,"Now that the child has left, the puppy barks contentedly and follows along.",,,,,
Speaker,Saja,,,,,
Char,Saja_What,,,,,
Text,Phew...,,,,,
Clear,S08_KCS,,,,,
