CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F1_C,,,,,
Bgm,Saja,,,,,
Speaker,Saja,,,,,
Char,Saja_What,,,,,
Text,"Ugh, our workload just increased.",,,,,
Choice,What should I do now?,question,Taking care of a clueless Saja too?,haha,,
Label,haha,,,,,
Char,Saja_Angry2,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,"Wh-what, are you talking to me?",,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,I'm... I'm not clueless!,,,,,
Char,Saja,,,,,
Text,"Ugh, anyway... let me explain what you need to do.",,,,,
Label,question,,,,,
Char,Saja,,,,,
Text,"First, investigate the scene and deduce the <color=#26EEFF>soul's name</color>.",,,,,
Char,Saja_Angry,,,,,
Text,"Next, the <color=#26EEFF>S. W. Detector</color> will display the names of all souls with <color=#26EEFF>han</color> on that floor.",,,,,
Char,Saja,,,,,
Text,"If you match a specific wave's amplitude and frequency on the detector, you can hear that soul's <color=#26EEFF>inner thoughts</color>.",,,,,
Text,"Then, you must call out the <color=#26EEFF>soul's name</color> that corresponds to the detector's wave to help that soul regain their sense of self.",,,,,
Char,Saja_Angry,,,,,
Text,"You must be in the <color=#26EEFF>same room</color> as that soul, so keep that in mind!",,,,,
Char,Saja,,,,,
Text,"And if you use the <color=#26EEFF>Soul Visor</color>, you'll be able to see the souls.",,,,,
Text,The visor is uncomfortable for investigating scenes but... anyway.,,,,,
Choice,I'll do my best.,yes,What exactly do you do then?,haha2,,
Label,yes,,,,,
Text,"Yeah, let's work well together.",,,,,
Flag,Saja_Corridor_1_Talk,,,,,
End,,,,,,
Label,haha2,,,,,
Char,Saja_Sad2,,,,,
Text,"Uu... uuu... uuuu... I do my job when needed!",,,,,
Char,Saja_Angry,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,Hurry up and get to work!,,,,,
Flag,Saja_Corridor_1_Talk,,,,,
