CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F3_R1,,,,,
Speaker,Sua,,,,,
Char,Sua,,,,,
Text,What? I'm dead?,,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,That's right. Now you need to follow me to the afterlife...,,,,,
Speaker,Sua,,,,,
Char,Sua,,,,,
Text,......,,,,,
Bgm,Saja,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Char,Sua_Wa,,,,,
Text,Awesome!!!,,,,,
Speaker,Saja,,,,,
Char,Saja_Sad,,,,,
Text,What??,,,,,
Speaker,Sua,,,,,
Char,Sua_Wa,,,,,
Text,So the afterlife is real? Then are you Saja?,,,,,
Text,Are your hands cold since you're Saja? Can I touch them?,,,,,
Speaker,Saja,,,,,
Char,Saja_Sad,,,,,
Text,"P-please calm down...",,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Char,Saja_What,,,,,
Text,Eek!!,,,,,
Speaker,Sua,,,,,
Char,Sua,,,,,
Text,Oh... maybe because I'm dead too? It's not that cold.,,,,,
Speaker,Saja,,,,,
Char,Saja_What,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,Wh-wh-what are you doing!!,,,,,
Speaker,Sua,,,,,
Char,Sua,,,,,
Text,I just can't help my curiosity~,,,,,
Char,Sua_Wa,,,,,
Text,Oh! So does Saja not have a heartbeat either?,,,,,
Text,"I'm curious, so maybe...",,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,......,,,,,
Text,......,,,,,
HideChar,,,,,,
Sfx,Footstep,,,,,
Speaker,,,,,,
Text,Saja ran away...,,,,,
Speaker,Sua,,,,,
Char,Sua,,,,,
Text,Hey where are you going! It'll just take a moment!,,,,,
HideChar,,,,,,
Sfx,Footstep,,,,,
Wait,0.5,,,,,
Speaker,Saja,,,,,
Shake,,,,,,
Sfx,Collapse,,,,,
Text,Kyaaaaaaaaaaah-!!!,,,,,
Wait,3,,,,,
Speaker,,,,,,
Text,......,,,,,
Text,A few minutes later the soul and Saja returned.,,,,,
Speaker,Saja,,,,,
Char,Saja_Sad2,,,,,
Text,Ugh... uuugh...,,,,,
Text,I want to go home... *sniffle*...,,,,,
Speaker,Sua,,,,,
Char,Sua,,,,,
Text,Ah geez... I couldn't control my curiosity. I'm sorry!!,,,,,
Choice,What on earth happened?!,then,,,,
Label,then,,,,,
Text,Nothing much... we were running and tumbled down.,,,,,
Text,I happened to fall into Saja's arms and got my answers!,,,,,
Char,Sua_Smile,,,,,
Text,Now that my curiosity is satisfied I'll follow you!,,,,,
Speaker,,,,,,
Sfx,Complete,,,,,
Text,After all that chaos the soul's han seems to be resolved...,,,,,
Clear,S02_CSA,,,,,
