CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F4_R3,,,,,
Speaker,,,,,,
Text,The soul hears the situation and tilts their head.,,,,,
Speaker,Sejin,,,,,
Char,Sejin,,,,,
Text,Am I... dead?,,,,,
Speaker,Saja,,,,,
Char,Saja_Sad,,,,,
Text,......,,,,,
Text,Unfortunately... yes.,,,,,
Speaker,Sejin,,,,,
Char,Sejin,,,,,
Text,I see... I don't remember much.,,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,Some people... when they experience something terrible sometimes forget it due to the mental shock.,,,,,
Char,Saja_Sad,,,,,
Text,So... you don't have to try to remember.,,,,,
Speaker,Sejin,,,,,
Char,Sejin,,,,,
Text,......,,,,,
Text,"I want to go with aun-... ma, but I'm scared...",,,,,
Text,Could you come with me?,,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,"...Of course. Here, take my hand...",,,,,
Speaker,,,,,,
Text,"The child quietly approached, took Saja's outstretched hand, and followed along.",,,,,
Clear,S10_CSJ,,,,,
